Tow,Genus,Species,Survey,Preserve,Number,Location,Temperature
ICHP-17-0191,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,7,LSHCB,6.7
ICHP-17-0192,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,101,LSHCB,6.4
ICHP-17-0192,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,67,LSHCB,4.2
ICHP-17-0193,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,14,LSHCB,21.1
ICHP-17-0193,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,98,LSHCB,4.8
ICHP-17-0194,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,1,LSHCB,20.2
ICHP-17-0194,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,15,LSHCB,20.2
ICHP-17-0195,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,4,LSHCB,21.5
ICHP-17-0195,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,13,LSHCB,21.2
ICHP-17-0196,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,3,LSHCB,21.5
ICHP-17-0196,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,16,LSHCB,21.3
ICHP-17-0197,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,2,LSHCB,21.3
ICHP-17-0197,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,103,LSHCB,6.9
ICHP-17-0197,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,94,LSHCB,6
ICHP-17-8000,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,100,NC,26.4
ICHP-17-8001,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,96,NC,26.7
ICHP-17-8002,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,92,NC,26
ICHP-17-8003,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,138,NC,27
ICHP-17-8004,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,92,NC,24.9
ICHP-17-8005,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,95,NC,25.5
ICHP-17-8006,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,101,NC,24.9
ICHP-17-8007,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,138,NC,26.8
ICHP-17-8008,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,115,NC,25.8
ICHP-17-8016,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,133,NC,20
ICHP-17-8018,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,106,NC,25.1
ICHP-17-8011,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,103,NC,18.8
ICHP-17-8019,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,64,NC,18.6
ICHP-17-8012,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,67,NC,19.4
ICHP-17-8009,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,93,NC,21
ICHP-17-8020,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,88,NC,18.3
ICHP-17-8014,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,40,NC,19.4
ICHP-17-8010,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,44,NC,20.4
ICHP-17-8013,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,132,NC,18.5
ICHP-17-8015,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,67,NC,20.6
ICHP-17-8017,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,146,NC,18.7
ICHP-17-8037,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,61,NC,20.3
ICHP-17-8023,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,5,NC,18.2
ICHP-17-8034,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,15,NC,25.6
ICHP-17-8042,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,18,NC,18.8
ICHP-17-8029,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,18,NC,19.4
ICHP-17-8021,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,18,NC,19.5
ICHP-17-8039,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,18,NC,20.6
ICHP-17-8031,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,13,NC,20.3
ICHP-17-8027,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,13,NC,20.4
ICHP-17-8025,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,10,NC,18.9
ICHP-17-8033,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,15,NC,18.9
ICHP-17-8030,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,168,NC,19.1
ICHP-17-8026,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,128,NC,19.5
ICHP-17-8038,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,178,NC,18.4
ICHP-17-8035,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,154,NC,20.7
ICHP-17-8024,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,165,NC,20.6
ICHP-17-8036,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,166,NC,19.5
ICHP-17-8022,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,197,NC,20.1
ICHP-17-8028,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,137,NC,18.4
ICHP-17-8032,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,170,NC,24.6
ICHP-17-8040,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,139,NC,20.8
ICHP-17-8041,Pseudopleuronectes,americanus ,ICHPLAN,ETOH,181,NC,18.1
