Code,Spp,Tow Date,Tow_ID,Tow_num,Picture Date,Fish Number,Notes,,,,,,,,,,,,,,,,,,
788237,Micropogonias undulatus,9/4/17,ICHP-17-8003,1,6/18/21,1,,,,,,,,,,,,,,,,,,,
788238,Micropogonias undulatus,9/5/17,ICHP-17-8004,1,6/19/21,1,,,,,,,,,,,,,,,,,,,
788239,Micropogonias undulatus,9/6/17,ICHP-17-8005,1,6/20/21,1,,,,,,,,,,,,,,,,,,,
788240,Micropogonias undulatus,9/7/17,ICHP-17-8006,1,6/21/21,1,,,,,,,,,,,,,,,,,,,
788241,Micropogonias undulatus,9/8/17,ICHP-17-8007,1,6/22/21,1,,,,,,,,,,,,,,,,,,,
788242,Micropogonias undulatus,9/9/17,ICHP-17-8008,1,6/23/21,1,,,,,,,,,,,,,,,,,,,
788243,Micropogonias undulatus,9/10/17,ICHP-17-8009,1,6/24/21,1,,,,,,,,,,,,,,,,,,,
788244,Micropogonias undulatus,9/11/17,ICHP-17-8010,1,6/25/21,1,,,,,,,,,,,,,,,,,,,
788245,Micropogonias undulatus,9/12/17,ICHP-17-8011,1,6/26/21,1,,,,,,,,,,,,,,,,,,,
788246,Micropogonias undulatus,11/23/17,ICHP-17-8012,1,6/27/21,1,,,,,,,,,,,,,,,,,,,
788247,Micropogonias undulatus,11/23/17,ICHP-17-8013,1,7/12/21,1,,,,,,,,,,,,,,,,,,,
788248,Micropogonias undulatus,11/24/17,ICHP-17-8014,1,6/28/21,1,,,,,,,,,,,,,,,,,,,
788249,Micropogonias undulatus,11/24/17,ICHP-17-8015,1,7/13/21,1,,,,,,,,,,,,,,,,,,,
788250,Micropogonias undulatus,11/25/17,ICHP-17-8016,1,6/29/21,1,,,,,,,,,,,,,,,,,,,
788251,Micropogonias undulatus,11/25/17,ICHP-17-8017,1,7/14/21,1,,,,,,,,,,,,,,,,,,,
788252,Micropogonias undulatus,11/26/17,ICHP-17-8018,1,6/30/21,1,,,,,,,,,,,,,,,,,,,
788253,Micropogonias undulatus,9/9/17,ICHP-17-8019,1,7/15/21,1,,,,,,,,,,,,,,,,,,,
788254,Micropogonias undulatus,11/27/17,ICHP-17-8020,1,7/1/21,1,,,,,,,,,,,,,,,,,,,
788255,Paralichthys dentatus,9/10/17,ICHP-17-8021,1,7/16/21,1,,,,,,,,,,,,,,,,,,,
788256,Paralichthys dentatus,11/28/17,ICHP-17-8022,1,7/2/21,1,,,,,,,,,,,,,,,,,,,
788257,Paralichthys dentatus,9/11/17,ICHP-17-8023,1,7/17/21,1,,,,,,,,,,,,,,,,,,,
788258,Paralichthys dentatus,11/29/17,ICHP-17-8024,1,7/3/21,1,,,,,,,,,,,,,,,,,,,
788259,Paralichthys dentatus,9/12/17,ICHP-17-8025,1,7/18/21,1,,,,,,,,,,,,,,,,,,,
788260,Paralichthys dentatus,11/30/17,ICHP-17-8026,1,7/4/21,1,,,,,,,,,,,,,,,,,,,
788261,Paralichthys dentatus,11/23/17,ICHP-17-8027,1,7/19/21,1,,,,,,,,,,,,,,,,,,,
788262,Paralichthys dentatus,12/1/17,ICHP-17-8028,1,7/5/21,1,,,,,,,,,,,,,,,,,,,
788263,Paralichthys dentatus,11/24/17,ICHP-17-8029,1,7/20/21,1,,,,,,,,,,,,,,,,,,,
788264,Paralichthys dentatus,12/2/17,ICHP-17-8030,1,7/6/21,1,,,,,,,,,,,,,,,,,,,
788265,Paralichthys dentatus,11/25/17,ICHP-17-8031,1,7/21/21,1,,,,,,,,,,,,,,,,,,,
788266,Paralichthys dentatus,12/3/17,ICHP-17-8032,1,7/7/21,1,,,,,,,,,,,,,,,,,,,
788267,Paralichthys dentatus,9/9/17,ICHP-17-8033,1,7/22/21,1,,,,,,,,,,,,,,,,,,,
788268,Paralichthys dentatus,9/9/17,ICHP-17-8034,1,7/8/21,1,,,,,,,,,,,,,,,,,,,
788269,Paralichthys dentatus,9/10/17,ICHP-17-8035,1,7/23/21,1,,,,,,,,,,,,,,,,,,,
788270,Paralichthys dentatus,9/10/17,ICHP-17-8036,1,7/9/21,1,,,,,,,,,,,,,,,,,,,
788271,Paralichthys dentatus,9/11/17,ICHP-17-8037,1,7/24/21,1,,,,,,,,,,,,,,,,,,,
788272,Paralichthys dentatus,9/11/17,ICHP-17-8038,1,7/10/21,1,,,,,,,,,,,,,,,,,,,
788273,Paralichthys dentatus,9/12/17,ICHP-17-8039,1,7/25/21,1,,,,,,,,,,,,,,,,,,,
788274,Paralichthys dentatus,9/12/17,ICHP-17-8040,1,7/11/21,1,,,,,,,,,,,,,,,,,,,
788275,Paralichthys dentatus,11/23/17,ICHP-17-8041,1,7/26/21,1,,,,,,,,,,,,,,,,,,,
788276,Paralichthys dentatus,11/24/17,ICHP-17-8042,1,7/27/21,1,,,,,,,,,,,,,,,,,,,
